customer_id,signup_date,region,plan,contract_type,monthly_fee_,tenure_months,payment_method,products_held,usage_gbmo,support_contacts_6m,complaints_raised,payment_failures_12m,nps_score_010,acquisition_channel,age_band,gender,paperless_billing,auto_renewal,churn_prob_score,churned_1yes,churn_date,churn_reason,high_risk_flag,revenue_per_product,tenure_band,predicted_churn_prob,predicted_churn
UK00001,2021-07-15 00:00:00.000000,London,Standard,Month-to-Month,19.99,36,Credit Card,1,10.7,2,2,0,3,Phone,35-44,F,No,Yes,0.79,1,2024-10-29 00:00:00.000000,Moved abroad,1,19.99,25-36m,0.8794532,1
UK00002,2020-10-17 00:00:00.000000,East of England,Basic,Month-to-Month,9.99,55,Direct Debit,3,3.2,0,0,0,4,Referral,45-54,F,No,Yes,0.31,0,,,0,3.33,37m+,0.16685249,0
UK00003,2021-05-18 00:00:00.000000,East Midlands,Premium,1-Year,39.99,47,Credit Card,1,72.7,2,1,3,8,Phone,35-44,M,Yes,No,0.22,0,,,0,39.99,37m+,0.49982494,0
UK00004,2023-06-08 00:00:00.000000,London,Premium,1-Year,39.99,22,Credit Card,4,9.4,1,3,0,5,Online,45-54,M,Yes,No,0.26,0,,,0,9.9975,13-24m,0.06176832,0
UK00005,2021-07-06 00:00:00.000000,North East,Basic,Month-to-Month,9.99,41,PayPal,4,0.6,0,0,1,7,Online,25-34,Prefer not to say,No,Yes,0.37,0,,,0,2.4975,37m+,0.11865279,0
UK00006,2021-09-20 00:00:00.000000,London,Premium,2-Year,39.99,21,Bank Transfer,1,36.0,1,0,0,7,Referral,18-24,F,No,No,0.02,0,,,0,39.99,13-24m,0.030762887,0
UK00007,2021-03-03 00:00:00.000000,North West,Standard,2-Year,19.99,34,Credit Card,5,6.7,4,2,0,9,Online,65+,F,Yes,No,0.2,0,,,0,3.9979999999999998,25-36m,0.07192996,0
UK00008,2020-07-03 00:00:00.000000,North West,Basic,Month-to-Month,9.99,40,Bank Transfer,5,1.4,4,0,0,5,In-Store,25-34,F,Yes,No,0.47,0,,,0,1.998,37m+,0.13844089,0
UK00009,2020-05-09 00:00:00.000000,Scotland,Standard,2-Year,19.99,70,Credit Card,3,17.3,1,1,0,8,Online,45-54,M,Yes,Yes,0.02,0,,,0,6.663333333333333,37m+,0.04601538,0
UK00010,2024-05-14 00:00:00.000000,South East,Standard,2-Year,19.99,5,Bank Transfer,2,8.1,0,0,0,2,Phone,35-44,F,No,Yes,0.49,1,2026-02-12 00:00:00.000000,Poor service quality,0,9.995,0-6m,0.8698883,1
UK00011,2023-04-27 00:00:00.000000,South West,Standard,1-Year,19.99,7,Direct Debit,1,15.0,0,1,1,10,In-Store,25-34,M,Yes,No,0.28,0,,,0,19.99,7-12m,0.13056545,0
UK00012,2020-05-19 00:00:00.000000,London,Premium,2-Year,39.99,70,Bank Transfer,2,54.3,0,0,0,10,Online,18-24,M,No,No,0.02,0,,,0,19.995,37m+,0.015843844,0
UK00013,2020-04-24 00:00:00.000000,Wales,Enterprise,1-Year,79.99,72,Credit Card,2,23.9,0,3,0,7,In-Store,55-64,F,Yes,Yes,0.14,0,,,0,39.995,37m+,0.18627015,0
UK00014,2022-08-30 00:00:00.000000,London,Basic,Month-to-Month,9.99,31,Direct Debit,5,2.3,0,0,0,10,Phone,25-34,M,No,Yes,0.27,1,2024-01-18 00:00:00.000000,No longer needed,0,1.998,25-36m,0.21998332,0
UK00015,2025-04-02 00:00:00.000000,South East,Basic,Month-to-Month,9.99,10,Credit Card,5,2.7,5,0,0,8,Online,25-34,M,No,Yes,0.59,0,,,0,1.998,7-12m,0.3078781,0
UK00016,2021-11-22 00:00:00.000000,Scotland,Standard,2-Year,19.99,14,Direct Debit,1,25.9,3,1,0,3,Phone,25-34,F,No,No,0.44,1,2025-02-23 00:00:00.000000,Price too high,1,19.99,13-24m,0.81232697,1
UK00017,2021-12-25 00:00:00.000000,South East,Standard,Month-to-Month,19.99,1,Direct Debit,3,9.3,0,0,0,3,Referral,45-54,M,Yes,Yes,0.7,1,2026-02-23 00:00:00.000000,Payment issues,0,6.663333333333333,0-6m,0.911752,1
UK00018,2021-08-21 00:00:00.000000,South East,Basic,Month-to-Month,9.99,14,PayPal,4,2.7,5,1,2,7,Partner,55-64,F,Yes,Yes,0.79,1,2025-07-17 00:00:00.000000,No longer needed,0,2.4975,13-24m,0.7559546,1
UK00019,2022-04-10 00:00:00.000000,West Midlands,Standard,Month-to-Month,19.99,32,Credit Card,1,16.2,1,0,0,9,Referral,25-34,M,Yes,No,0.21,0,,,0,19.99,25-36m,0.068708844,0
UK00020,2021-10-10 00:00:00.000000,Scotland,Premium,Month-to-Month,39.99,36,Credit Card,5,92.9,1,0,1,7,Partner,25-34,M,No,No,0.27,0,,,0,7.998,25-36m,0.07144414,0
UK00021,2020-10-12 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,66,Credit Card,2,18.7,0,1,0,10,In-Store,65+,F,No,Yes,0.17,0,,,0,9.995,37m+,0.18451104,0
UK00022,2020-10-19 00:00:00.000000,South East,Standard,Month-to-Month,19.99,53,Direct Debit,5,8.6,0,0,2,8,Online,35-44,M,No,Yes,0.15,0,,,0,3.9979999999999998,37m+,0.05400634,0
UK00023,2021-01-12 00:00:00.000000,East Midlands,Standard,Month-to-Month,19.99,60,Direct Debit,5,13.2,1,2,1,8,Phone,18-24,Prefer not to say,Yes,No,0.33,1,2022-05-31 00:00:00.000000,Price too high,0,3.9979999999999998,37m+,0.47194716,0
UK00024,2021-09-05 00:00:00.000000,Wales,Basic,1-Year,9.99,10,Credit Card,5,3.6,0,1,0,9,Phone,55-64,F,Yes,No,0.32,1,2026-02-17 00:00:00.000000,Competitor offer,0,1.998,7-12m,0.7258022,1
UK00025,2024-05-06 00:00:00.000000,North East,Standard,1-Year,19.99,16,PayPal,5,18.4,5,0,2,9,In-Store,55-64,M,Yes,No,0.28,0,,,0,3.9979999999999998,13-24m,0.123014934,0
UK00026,2021-11-01 00:00:00.000000,South West,Premium,2-Year,39.99,36,Credit Card,2,25.5,0,0,0,7,Referral,18-24,M,No,Yes,0.02,0,,,0,19.995,25-36m,0.021777144,0
UK00027,2020-05-30 00:00:00.000000,North West,Basic,1-Year,9.99,70,Credit Card,4,6.1,1,1,2,2,Online,35-44,F,No,Yes,0.52,1,2023-07-15 00:00:00.000000,Poor service quality,1,2.4975,37m+,0.8348899,1
UK00028,2021-11-22 00:00:00.000000,South East,Basic,1-Year,9.99,52,Direct Debit,2,3.4,5,0,2,9,Online,35-44,F,Yes,Yes,0.42,1,2023-10-16 00:00:00.000000,Price too high,0,4.995,37m+,0.7600894,1
UK00029,2021-04-17 00:00:00.000000,East of England,Standard,Month-to-Month,19.99,49,Credit Card,4,0.1,0,0,0,10,Online,65+,M,Yes,Yes,0.13,0,,,0,4.9975,37m+,0.12908451,0
UK00030,2023-09-16 00:00:00.000000,London,Basic,1-Year,9.99,17,Direct Debit,2,1.4,1,0,0,3,Phone,25-34,F,No,Yes,0.56,0,,,0,4.995,13-24m,0.40856844,0
UK00031,2021-12-29 00:00:00.000000,Yorkshire,Enterprise,Month-to-Month,79.99,49,PayPal,1,103.4,2,1,0,8,Referral,35-44,M,No,No,0.13,1,2025-10-31 00:00:00.000000,Poor service quality,0,79.99,37m+,0.68082905,1
UK00032,2023-12-17 00:00:00.000000,South West,Premium,Month-to-Month,39.99,14,Credit Card,4,27.0,2,0,1,6,Referral,35-44,F,No,No,0.31,0,,,0,9.9975,13-24m,0.1677264,0
